fnode	tnode	iftran	hydseq
20783	20630	1	11491
20472	18816	1	11492
21098	19617	1	11493
20376	19617	1	11494
19617	19289	1	11495
20062	20193	1	11496
20381	20291	1	11497
20973	20630	1	11498
20630	20291	1	11499
20291	20193	1	11500
20193	19915	1	11501
20232	19915	1	11502
19915	19542	1	11503
20141	19475	1	11504
20448	20405	1	11505
20583	20405	1	11506
20405	20067	1	11507
20303	20067	1	11508
20067	19475	1	11509
19475	19542	1	11510
19542	19289	1	11511
19289	18816	1	11512
18816	18151	1	11513
18151	17943	1	11514
19068	18308	1	11515
18308	18001	1	11516
18001	17984	1	11517
18100	17709	1	11518
18137	17527	1	11519
17934	17395	1	11520
18154	17289	1	11521
17774	17450	1	11522
17485	17094	1	11523
17569	16577	1	11524
16931	16182	1	11525
15956	15347	1	11526
15627	15230	1	11527
14064	14575	1	11528
14113	14575	1	11529
14575	14719	1	11530
14719	14747	1	11531
14352	14936	1	11532
14208	14829	1	11533
14349	14597	1	11534
14317	14473	1	11535
14317	14468	1	11536
13962	13887	1	11537
13848	13887	1	11538
13887	14342	1	11539
13414	13878	1	11540
17531	17902	1	11541
18000	18362	1	11542
18338	18362	1	11543
18362	18324	1	11544
20358	18593	0	11545
18593	18324	0	11546
19568	18889	1	11547
21170	18889	1	11548
18889	18324	1	11549
18324	18326	1	11550
22065	21573	1	11551
21573	19249	1	11552
19249	18658	1	11553
21646	20967	1	11554
20686	20967	1	11555
20967	20841	1	11556
18327	17710	1	11557
18300	17037	1	11558
18084	17037	1	11559
17037	16991	1	11560
17932	16991	1	11561
16991	16631	1	11562
16631	16475	1	11563
15272	16224	1	11564
13932	15802	1	11565
15071	15780	1	11566
15703	15780	1	11567
15780	15802	1	11568
15802	16224	1	11569
16224	16305	1	11570
16305	16358	1	11571
17115	16649	1	11572
15858	16159	1	11573
13995	12729	1	11574
14374	14326	1	11575
13801	14578	1	11576
12824	13619	1	11577
12512	13193	1	11578
13028	13511	1	11579
12575	13408	1	11580
12311	12850	1	11581
13841	13457	1	11582
13040	13164	1	11583
11571	12253	1	11584
12253	12357	1	11585
12357	12948	1	11586
11769	12706	1	11587
12330	12862	1	11588
12784	12639	1	11589
12639	11827	1	11590
11827	10808	1	11591
10878	9874	1	11592
11510	11050	1	11593
11343	11050	1	11594
11050	10973	1	11595
11925	11642	1	11596
11904	11642	1	11597
11642	11446	1	11598
11161	11446	1	11599
11446	10944	1	11600
11052	11062	1	11601
11661	11198	1	11602
11198	10816	1	11603
10816	11062	1	11604
11062	10944	1	11605
10944	10973	1	11606
10973	10596	1	11607
10596	9874	1	11608
9874	9842	1	11609
9842	9844	1	11610
11709	11059	1	11611
11223	11059	1	11612
11059	10633	1	11613
10633	10463	1	11614
12264	11726	1	11615
11726	11684	1	11616
11684	11686	1	11617
11573	11686	1	11618
11686	11801	1	11619
11404	11801	1	11620
11801	10669	1	11621
10669	10492	1	11622
10839	10139	1	11623
10701	10139	1	11624
10139	9945	1	11625
10891	10317	1	11626
10739	10345	1	11627
10402	10345	1	11628
10345	10288	1	11629
10196	10288	1	11630
10288	10317	1	11631
10317	9945	1	11632
9945	9750	1	11633
10169	9750	1	11634
9750	8080	1	11635
9508	8807	1	11636
11226	11012	1	11637
10318	10805	1	11638
10354	10805	1	11639
10805	10841	1	11640
10841	11595	1	11641
11595	11783	1	11642
11783	11837	1	11643
10285	10229	1	11644
9627	9387	1	11645
9264	8564	1	11646
8908	8308	1	11647
9761	9663	1	11648
9687	9663	1	11649
9663	8855	1	11650
9322	8855	1	11651
8855	8773	1	11652
9369	9014	1	11653
9302	9009	1	11654
9587	9478	1	11655
9495	9478	1	11656
9478	9032	1	11657
8984	8655	1	11658
8964	8655	1	11659
8655	8562	1	11660
8967	8562	1	11661
8562	8485	1	11662
8695	8485	1	11663
8485	8319	1	11664
8405	7894	1	11665
8231	7894	1	11666
7894	7757	1	11667
8279	8155	1	11668
8155	8042	1	11669
8042	7727	1	11670
7634	7219	1	11671
10378	10165	1	11672
10165	10131	1	11673
10376	10131	1	11674
10131	10129	1	11675
10129	10070	1	11676
9737	9954	1	11677
9954	9832	1	11678
19521	20841	1	11679
20841	20534	1	11680
19213	20534	1	11681
20534	18658	1	11682
18658	18326	1	11683
18326	17902	1	11684
17902	17854	1	11685
9452	9216	1	11686
9216	9032	1	11687
9032	9009	1	11688
9009	9014	1	11689
9014	8773	1	11690
8773	8521	1	11691
8521	8319	1	11692
8319	7972	1	11693
23146	23764	1	11694
23764	23783	1	11695
23783	23940	1	11696
23940	23939	1	11697
23939	23751	1	11698
23751	23605	1	11699
23605	23168	1	11700
23168	23155	1	11701
8345	8619	1	11702
8619	8882	1	11703
8882	9289	1	11704
9289	9276	1	11705
